income_class,Amount
Renewal,32186.72
New,23590.71
Renewal,4611.96
Renewal,4975.41
Renewal,1198.88
Renewal,1825.43
New,79833.6
New,11435.86
Renewal,847.38
Renewal,9900
Renewal,8250
Renewal,4093.2
Renewal,8117
Renewal,6101.25
Renewal,1980
Renewal,1980
Cross Sell,2089.25
Cross Sell,21768.61
Cross Sell,12019.2
Renewal,66937.72
Renewal,78374.84
Renewal,60000
Renewal,60000
Renewal,60000
Renewal,4715.63
Renewal,22755.25
Renewal,26443.63
Renewal,49499.84
Renewal,
Renewal,16500
Renewal,26400
Renewal,3300
Renewal,1072.5
Renewal,4002.46
Renewal,1374.25
Cross Sell,566.25
Renewal,445
Renewal,13114.95
Renewal,2049.42
Renewal,61425
Renewal,1650
Renewal,16335
Renewal,18562.5
Renewal,0
Renewal,4330.05
Renewal,
Renewal,8604.68
Renewal,41313.6
Renewal,
Renewal,74672.78
Renewal,66622.35
Renewal,0
Renewal,92812.5
Renewal,18562.5
Renewal,3526.88
Renewal,34950.98
Renewal,55687.5
Renewal,5187.31
Cross Sell,2116.48
Renewal,810.28
New,379836.08
Cross Sell,28087.5
Renewal,137500
Cross Sell,18750
Renewal,8125
New,116487.04
New,2988.62
New,14627.5
New,2020.5
New,625.13
Cross Sell,417
New,687.63
New,374.88
New,3537.25
New,8881.5
Renewal,28125
Renewal,131250
Renewal,6058.38
Renewal,29608.99
Renewal,29638.4
Renewal,237107.16
Renewal,295501.76
Renewal,5612.25
Renewal,30875
Cross Sell,7022.25
Cross Sell,77787.36
Cross Sell,30048.08
Cross Sell,7690.95
Renewal,86400
Renewal,345705
Renewal,77400
Renewal,302811.08
Renewal,1183.38
Renewal,33977.82
Cross Sell,25303.02
Cross Sell,25302.96
Cross Sell,25302.96
Cross Sell,25302.96
Cross Sell,25302.96
Cross Sell,25302.96
Cross Sell,25302.96
Cross Sell,25302.96
Cross Sell,25302.96
Cross Sell,25303.02
Cross Sell,39952.08
Renewal,562.24
Renewal,628.7
Renewal,5075.5
Renewal,5206
New,5462.5
Renewal,13612.5
Renewal,6991.55
Renewal,13750
New,70125
New,70125
Renewal,208122.92
Renewal,45375.15
Renewal,18150
Renewal,45375.15
Renewal,45375
Renewal,0
Renewal,6157.88
Renewal,
Renewal,113.48
Renewal,4302.3
Renewal,52500
Cross Sell,1147.82
Renewal,1896.63
Renewal,0
Renewal,48125
Renewal,13560.92
Renewal,55052.69
Renewal,14131.43
Renewal,3125
Renewal,1125
Renewal,4706.25
Renewal,825
Renewal,1896.63
Renewal,19181.25
Renewal,42500
Renewal,10917.07
Renewal,60713.1
Renewal,12349.97
Renewal,3375
Renewal,875
Renewal,1556.25
Renewal,186534.13
Renewal,202350
Cross Sell,750.63
Renewal,63.75
Renewal,1556.5
Renewal,46087.63
Renewal,4362.38
Renewal,65370
Cross Sell,44259.67
Renewal,35112
Renewal,15048
Renewal,1072.34
Renewal,1111.77
Cross Sell,27057.2
Cross Sell,87500
Renewal,7647.1
Renewal,12491.85
Renewal,30620.9
Renewal,61342.1
Renewal,3125
Renewal,62714.03
Renewal,85800
Renewal,21450
Renewal,71765.36
Renewal,17941.34
New,44999.85
Cross Sell,47500
Cross Sell,6183.87
Cross Sell,6183.87
New,13200
New,16258
New,8227.79
New,2925.72
New,2925.72
New,5240.78
New,17232.75
New,6250
New,72138.93
New,43032.54
New,11550
New,7700
New,14461.25
New,13153.63
New,0
Cross Sell,15625
Cross Sell,134736.13
Cross Sell,32584.88
Cross Sell,8044.5
Renewal,2141.55
Renewal,2486.07
Renewal,6653.1
Renewal,6979.74
Cross Sell,2283.33
New,14107.5
Renewal,2535.87
Renewal,125000
Renewal,125000
Renewal,80000
Renewal,320000
Renewal,320000
Renewal,211206.7
Renewal,275569.44
Renewal,275569.44
Renewal,50332.73
Renewal,57539.3
Renewal,212357.74
Cross Sell,31250
Renewal,43750
Cross Sell,75000
Cross Sell,31250
Renewal,43750
Cross Sell,75000
Cross Sell,23125
Cross Sell,21875
Cross Sell,47500
Renewal,7632.55
Renewal,2563.13
Renewal,8269.74
Renewal,8269.74
Renewal,5891
Renewal,5891
Renewal,2720.25
Renewal,375
Renewal,15047.5
Renewal,2852.5
Renewal,495
Renewal,9294.35
Renewal,2440.25
Renewal,1412.55
Renewal,63750
Renewal,3098.63
Renewal,1747.2
Renewal,2458.58
Renewal,11249.93
Renewal,14603.3
Renewal,28940.65
Renewal,146052.65
Renewal,25000
New,1148.93
New,58300
Renewal,6250
Renewal,6250
Renewal,12500
Renewal,12500
Cross Sell,2645.75
New,2939.29
Renewal,5207.66
Renewal,5601.1
Cross Sell,1972.37
Cross Sell,2141.55
Renewal,3136.39
Renewal,35127.9
Cross Sell,18229.13
Cross Sell,6158.75
Cross Sell,825
Renewal,8452.13
Cross Sell,7475
Cross Sell,15563.87
Cross Sell,2739.83
Renewal,2228.33
Renewal,7162.88
New,1569.64
New,2340.25
New,125
New,100000
New,
Cross Sell,60025
Cross Sell,60025
Cross Sell,60025
Renewal,5839.35
Renewal,36833.85
Renewal,6268.75
Renewal,45473.07
Renewal,9436.56
Renewal,30030.63
Cross Sell,2722.5
New,71875
Renewal,62500
Renewal,84375
New,55107.13
Renewal,231094.04
Cross Sell,943.5
Cross Sell,2809.13
Renewal,2809.25
New,20625
New,32683
New,84590.55
New,10547.63
Cross Sell,63000
Renewal,121875
Renewal,8174.5
Renewal,115781.25
Renewal,318411.5
Renewal,344794.13
Renewal,140949.5
Renewal,460832.14
Renewal,257590.8
Renewal,-98802.02
Cross Sell,338.55
Renewal,40625
Renewal,37500
Renewal,55361.6
Renewal,86723.5
Renewal,21680.8
Cross Sell,17419.13
Cross Sell,5165.63
Cross Sell,9990.15
Cross Sell,10625
Renewal,14399.88
Renewal,20165.5
Cross Sell,11593.27
Renewal,1185.9
Renewal,1005
Renewal,1050.38
Renewal,6250
Renewal,
Renewal,6250
Renewal,18814.25
Renewal,200659.63
Renewal,215165
Cross Sell,97.35
Cross Sell,3854.23
Renewal,6739.76
Cross Sell,6739.76
Cross Sell,8468.49
Cross Sell,529.13
Cross Sell,162500
Cross Sell,250000
Cross Sell,78837.1
Renewal,21875
Renewal,59322
Cross Sell,26763.4
Cross Sell,26763.4
Cross Sell,26763.44
Cross Sell,26763.44
Cross Sell,26763.44
Cross Sell,26763.44
Cross Sell,26763.44
Cross Sell,26763.44
Cross Sell,39440.84
Cross Sell,14274.76
Cross Sell,14274.76
Cross Sell,14274.76
Cross Sell,14274.76
Cross Sell,14274.76
Cross Sell,14274.76
Cross Sell,14274.76
Cross Sell,14274.76
Cross Sell,14274.76
Cross Sell,14274.76
Cross Sell,14274.8
Cross Sell,22539.08
Cross Sell,24072.23
Cross Sell,24072.23
Cross Sell,24072.23
Cross Sell,24072.23
Cross Sell,24072.23
Cross Sell,24072.23
Cross Sell,24072.23
Cross Sell,24072.26
Cross Sell,24072.26
Cross Sell,35521.53
Cross Sell,31816.79
Cross Sell,31816.79
Cross Sell,31816.79
Cross Sell,31816.79
Cross Sell,31816.79
Cross Sell,31816.79
Cross Sell,31816.79
Cross Sell,31816.83
Cross Sell,31816.83
Cross Sell,31816.83
Cross Sell,31816.83
Cross Sell,31816.83
Cross Sell,46888.34
Cross Sell,46888.34
Cross Sell,46888.34
Cross Sell,46888.34
Cross Sell,5712.04
Cross Sell,5712.04
Cross Sell,5712.04
Cross Sell,5712.04
Cross Sell,5712.04
Cross Sell,5712.04
Cross Sell,5712.04
Cross Sell,5712.04
Cross Sell,5712.04
Cross Sell,5712.04
Cross Sell,5712.04
Cross Sell,5712.04
Cross Sell,5712.04
Cross Sell,5712.04
Cross Sell,5712.04
Cross Sell,15832.08
Cross Sell,11198.33
Cross Sell,11279.55
Cross Sell,11279.55
Cross Sell,11279.55
Cross Sell,11279.55
Cross Sell,11279.55
Cross Sell,11279.55
Cross Sell,11279.55
Cross Sell,11279.55
Cross Sell,11279.55
Cross Sell,11279.55
Cross Sell,11279.55
Cross Sell,27256.2
Cross Sell,2426.03
Cross Sell,2426.06
Cross Sell,2426.06
Cross Sell,2426.06
Cross Sell,2426.06
Cross Sell,2426.06
Cross Sell,2426.06
Cross Sell,2426.06
Cross Sell,6203.49
Cross Sell,137712.39
Cross Sell,21929.45
Cross Sell,55777.3
Cross Sell,101109.75
New,31589.25
New,31589.25
New,31589.25
New,31589.25
New,31589.25
New,31589.25
New,31589.3
New,31589.3
New,31589.3
New,31589.3
New,183374.9
New,0
New,0
New,0
Cross Sell,10118.39
Cross Sell,2254.63
Cross Sell,0
Cross Sell,0
Cross Sell,118750
New,93516.75
New,93516.75
New,93516.75
New,93517.25
New,100710.88
New,100710.88
New,100710.88
New,100710.88
New,129485.38
Cross Sell,53711
Cross Sell,49576
Cross Sell,0
Cross Sell,
Cross Sell,
Cross Sell,64971
Renewal,66188.76
Cross Sell,37754.15
Renewal,48325.76
Renewal,5763.57
Renewal,5721.71
Renewal,50101.73
Renewal,2940.49
Renewal,3073.94
Cross Sell,330
Renewal,20327.63
Renewal,2164.3
Renewal,27258.8
Renewal,5105.2
Cross Sell,95.85
Renewal,153.76
Renewal,3842.38
Renewal,3300
Renewal,7424.84
Renewal,55687.5
Renewal,8745.18
Cross Sell,10578.39
Renewal,10279.51
Renewal,610.77
Renewal,25000
Renewal,23750
Cross Sell,0
Cross Sell,10395
Cross Sell,0
Cross Sell,15592.5
Cross Sell,11310.75
Renewal,48928.73
Renewal,18975
Cross Sell,16170
Cross Sell,9056.48
Cross Sell,18357
Cross Sell,10416.75
Cross Sell,1232
Cross Sell,242.5
Cross Sell,643.75
Cross Sell,4595.75
Cross Sell,21905.2
Cross Sell,337.5
Cross Sell,6112.76
Cross Sell,0
Cross Sell,10725
Cross Sell,27530.38
Cross Sell,106033.91
Cross Sell,3978.77
Cross Sell,9453.35
Cross Sell,4156.79
New,7451.24
Cross Sell,3630
Renewal,1072.5
Cross Sell,49401.25
Cross Sell,49401.25
Cross Sell,45000
Renewal,54000
Cross Sell,5659.5
Cross Sell,2942.25
Renewal,6335.5
Renewal,2436.75
Renewal,18321.23
Renewal,26967.39
Renewal,159956.76
Renewal,0
Renewal,8268.13
Renewal,12500.13
Renewal,10584.15
Renewal,14393.8
Renewal,691.85
Renewal,691.85
Renewal,10964.79
Renewal,13630.7
Renewal,123750
Renewal,869.63
Renewal,869.63
Renewal,1562.5
Renewal,43367
Renewal,43367
Renewal,65050.5
Renewal,65050.5
Renewal,10824.4
Renewal,10824.4
Renewal,16236.6
Renewal,16236.6
Renewal,36612.18
Renewal,28735.65
Renewal,53277.92
Renewal,30048.08
Cross Sell,15084.15
Cross Sell,1013.88
Cross Sell,1601.5
Renewal,37500
Renewal,35000
Cross Sell,992.51
Cross Sell,992.51
Cross Sell,377079.15
Cross Sell,61251.58
Cross Sell,62070.81
Cross Sell,1261.84
Cross Sell,349157.16
Renewal,107689.68
Renewal,5417.97
Cross Sell,61936.46
Cross Sell,56276.26
Cross Sell,399509.89
Renewal,98931.05
Renewal,1610
Renewal,131090.46
Renewal,2056.43
Renewal,1194.28
Cross Sell,75395.04
Cross Sell,53595
Renewal,6595.25
Cross Sell,2887.38
Cross Sell,11539.77
Cross Sell,21875
Cross Sell,8588.56
Cross Sell,3050.6
Cross Sell,3050.6
Cross Sell,40309.5
Cross Sell,40309.68
Cross Sell,40309.68
Cross Sell,40309.68
Cross Sell,50909.6
Cross Sell,31079.56
Cross Sell,31079.56
Cross Sell,31079.56
Cross Sell,31088.49
Cross Sell,39249.53
Cross Sell,8961.75
Cross Sell,877.71
Cross Sell,8107.49
Cross Sell,7398.74
Cross Sell,15429.84
Cross Sell,3120.25
Cross Sell,70725.99
Cross Sell,4278.13
Cross Sell,4278.13
Cross Sell,4278.25
Cross Sell,4278.25
Cross Sell,4278.25
Cross Sell,4278.25
Cross Sell,4705.88
Cross Sell,4705.88
Cross Sell,4705.88
Cross Sell,4705.88
Cross Sell,4705.88
Cross Sell,6417.13
Cross Sell,81783.89
Cross Sell,70935.55
Cross Sell,70935.55
Cross Sell,70935.55
Cross Sell,70935.55
Cross Sell,90281.89
Cross Sell,90281.89
Cross Sell,90281.89
Cross Sell,90281.89
Cross Sell,90281.89
Cross Sell,122525.38
Cross Sell,0
Cross Sell,0
Cross Sell,0
Cross Sell,0
Cross Sell,0
Cross Sell,0
Cross Sell,0
Cross Sell,0
Cross Sell,0
Cross Sell,0
Cross Sell,62399.23
Cross Sell,62399.23
Cross Sell,62399.23
Cross Sell,62399.23
Cross Sell,62399.23
Cross Sell,62399.23
Cross Sell,62399.23
Cross Sell,62399.23
Cross Sell,62399.4
Cross Sell,62399.4
Cross Sell,62399.4
Cross Sell,68639.38
Cross Sell,68639.38
Cross Sell,68639.38
Cross Sell,68639.38
Cross Sell,99839.08
Cross Sell,0
Cross Sell,0
Cross Sell,0
Cross Sell,0
Cross Sell,0
Cross Sell,0
Cross Sell,0
Cross Sell,0
Cross Sell,0
Cross Sell,0
Cross Sell,0
Cross Sell,0
Cross Sell,0
